time,ADX
2020-05-20,27.4882
2020-05-19,26.7946
2020-05-18,26.2205
2020-05-15,26.2518
2020-05-14,26.5888
2020-05-13,27.2285
2020-05-12,27.9174
2020-05-11,28.3313
2020-05-08,28.4524
2020-05-07,28.9462
2020-05-06,29.6053
2020-05-05,30.5209
2020-05-04,31.5764
2020-05-01,32.9654
2020-04-30,34.4370
2020-04-29,33.8929
2020-04-28,34.0159
2020-04-27,34.3227
2020-04-24,33.5870
2020-04-23,32.9861
2020-04-22,32.3375
2020-04-21,31.8625
2020-04-20,31.3510
2020-04-17,28.9115
2020-04-16,26.4968
2020-04-15,23.5240
2020-04-14,20.9456
2020-04-13,18.4172
2020-04-09,16.5222
2020-04-08,15.9059
2020-04-07,15.3692
2020-04-06,14.9040
2020-04-03,14.9245
2020-04-02,15.9900
2020-04-01,17.1528
2020-03-31,18.4557
2020-03-30,18.9911
2020-03-27,19.8619
2020-03-26,21.3344
2020-03-25,22.9203
2020-03-24,24.6462
2020-03-23,26.3728
2020-03-20,28.0802
2020-03-19,30.0301
2020-03-18,31.9749
2020-03-17,32.5703
2020-03-16,33.2116
2020-03-13,32.1808
2020-03-12,31.4911
2020-03-11,30.3300
2020-03-10,30.1877
2020-03-09,30.2124
2020-03-06,29.6028
2020-03-05,30.1597
2020-03-04,31.3400
2020-03-03,32.7913
2020-03-02,34.3542
2020-02-28,35.2584
2020-02-27,34.8299
2020-02-26,35.1890
2020-02-25,36.7674
2020-02-24,38.4672
2020-02-21,40.8128
2020-02-20,42.2482
2020-02-19,42.5142
2020-02-18,41.5085
2020-02-14,40.6572
2020-02-13,39.8273
2020-02-12,38.3115
2020-02-11,36.1559
2020-02-10,33.8344
2020-02-07,31.7535
2020-02-06,29.8869
2020-02-05,28.3893
2020-02-04,26.4942
2020-02-03,24.5865
2020-01-31,22.6660
2020-01-30,20.5291
2020-01-29,22.0617
2020-01-28,23.5338
2020-01-27,24.9132
2020-01-24,25.6550
2020-01-23,27.5665
2020-01-22,28.3735
2020-01-21,28.6411
2020-01-17,29.2221
2020-01-16,30.1249
2020-01-15,30.6343
2020-01-14,31.4058
2020-01-13,32.0659
2020-01-10,31.6097
2020-01-09,31.1185
2020-01-08,29.7210
2020-01-07,28.3484
2020-01-06,26.5689
2020-01-03,24.8279
2020-01-02,23.2690
2019-12-31,21.5902
2019-12-30,20.6993
2019-12-27,19.3375
2019-12-26,16.5496
2019-12-24,14.1055
2019-12-23,13.7801
2019-12-20,13.5480
2019-12-19,13.2980
2019-12-18,13.4598
2019-12-17,13.1648
2019-12-16,13.0988
2019-12-13,14.0446
2019-12-12,15.0879
2019-12-11,16.0529
2019-12-10,16.4138
2019-12-09,16.8024
2019-12-06,17.6269
2019-12-05,17.9467
2019-12-04,18.2911
2019-12-03,19.3785
2019-12-02,19.8511
2019-11-29,20.9177
2019-11-27,21.2762
2019-11-26,21.6693
2019-11-25,23.2059
2019-11-22,24.1441
2019-11-21,23.1567
2019-11-20,22.0932
2019-11-19,21.0696
2019-11-18,20.2577
2019-11-15,18.9338
2019-11-14,17.8147
2019-11-13,17.1620
2019-11-12,16.4590
2019-11-11,16.6024
2019-11-08,16.4152
2019-11-07,16.4729
2019-11-06,16.8968
2019-11-05,17.5505
2019-11-04,18.4604
2019-11-01,19.7041
2019-10-31,20.3133
2019-10-30,20.7344
2019-10-29,20.7728
2019-10-28,20.5827
2019-10-25,20.3781
2019-10-24,19.5730
2019-10-23,20.5552
2019-10-22,20.7960
2019-10-21,21.7687
2019-10-18,22.6435
2019-10-17,23.5856
2019-10-16,24.9773
2019-10-15,26.8302
2019-10-14,28.4284
2019-10-11,28.5048
2019-10-10,28.8354
2019-10-09,28.8179
2019-10-08,28.3608
2019-10-07,27.7161
2019-10-04,27.4831
2019-10-03,26.8768
2019-10-02,25.4339
2019-10-01,24.2943
2019-09-30,23.6238
2019-09-27,21.9250
2019-09-26,20.1916
2019-09-25,18.7067
2019-09-24,17.1077
2019-09-23,15.6551
2019-09-20,14.8663
2019-09-19,14.3976
2019-09-18,15.1263
2019-09-17,15.4544
2019-09-16,16.1158
2019-09-13,16.8280
2019-09-12,17.3108
2019-09-11,17.8308
2019-09-10,19.0986
2019-09-09,20.3889
2019-09-06,21.4149
2019-09-05,22.8429
2019-09-04,24.3809
2019-09-03,25.2257
2019-08-30,25.8577
2019-08-29,26.4968
2019-08-28,27.5273
2019-08-27,27.4361
2019-08-26,27.3988
2019-08-23,26.9820
2019-08-22,26.5670
2019-08-21,27.3713
2019-08-20,28.6542
2019-08-19,29.5749
2019-08-16,30.9047
2019-08-15,31.4938
2019-08-14,31.5391
2019-08-13,31.5878
2019-08-12,32.1145
2019-08-09,31.4736
2019-08-08,31.2690
2019-08-07,31.0488
2019-08-06,29.2962
2019-08-05,27.1684
2019-08-02,24.6475
2019-08-01,22.7272
2019-07-31,21.3190
2019-07-30,19.9132
2019-07-29,19.1698
2019-07-26,18.5478
2019-07-25,18.8451
2019-07-24,19.4884
2019-07-23,20.1813
2019-07-22,20.5890
2019-07-19,21.3349
2019-07-18,21.9672
2019-07-17,22.9256
2019-07-16,22.0633
2019-07-15,20.6211
2019-07-12,19.1476
2019-07-11,17.6945
2019-07-10,16.1295
2019-07-09,14.6728
2019-07-08,13.9393
2019-07-05,14.1880
2019-07-03,14.8105
2019-07-02,15.2743
2019-07-01,15.9964
2019-06-28,16.4805
2019-06-27,17.5274
2019-06-26,18.1636
2019-06-25,19.0688
2019-06-24,20.0435
2019-06-21,20.1285
2019-06-20,19.9969
2019-06-19,19.8553
2019-06-18,20.0344
2019-06-17,20.0049
2019-06-14,20.5133
2019-06-13,21.5018
2019-06-12,22.4823
2019-06-11,23.9308
2019-06-10,25.1662
2019-06-07,26.6747
2019-06-06,27.2499
2019-06-05,26.3374
2019-06-04,25.0595
2019-06-03,22.8836
2019-05-31,20.5404
2019-05-30,19.5414
2019-05-29,19.2815
2019-05-28,19.0016
2019-05-24,19.1992
2019-05-23,19.1387
2019-05-22,19.0735
2019-05-21,20.2105
2019-05-20,21.4348
2019-05-17,22.4144
2019-05-16,23.9294
2019-05-15,25.1042
2019-05-14,26.4164
2019-05-13,27.0408
2019-05-10,27.4929
2019-05-09,29.0067
2019-05-08,31.1991
2019-05-07,32.2761
2019-05-06,33.4359
2019-05-03,34.4061
2019-05-02,34.3858
2019-05-01,35.4584
2019-04-30,35.1632
2019-04-29,35.0408
2019-04-26,33.2943
2019-04-25,31.5072
2019-04-24,30.1417
2019-04-23,28.6713
2019-04-22,27.0962
2019-04-18,26.3289
2019-04-17,26.0110
2019-04-16,25.6149
2019-04-15,25.3785
2019-04-12,25.8300
2019-04-11,25.1003
2019-04-10,24.3572
2019-04-09,23.6076
2019-04-08,22.6507
2019-04-05,21.6856
2019-04-04,20.9064
2019-04-03,20.2915
2019-04-02,19.4074
2019-04-01,18.6645
2019-03-29,17.9533
2019-03-28,17.6676
2019-03-27,17.6946
2019-03-26,17.7238
2019-03-25,16.8756
2019-03-22,16.4098
2019-03-21,15.3972
2019-03-20,13.4673
2019-03-19,11.7787
2019-03-18,10.2218
2019-03-15,9.1839
2019-03-14,8.7445
2019-03-13,8.6728
2019-03-12,8.6431
2019-03-11,8.9781
2019-03-08,9.6226
2019-03-07,9.0799
2019-03-06,9.2917
2019-03-05,9.0963
2019-03-04,8.1570
2019-03-01,7.1455
2019-02-28,6.9126
2019-02-27,7.2955
2019-02-26,7.7098
2019-02-25,8.1036
2019-02-22,8.5426
2019-02-21,8.8573
2019-02-20,8.8815
2019-02-19,9.1210
2019-02-15,9.3556
2019-02-14,9.4883
2019-02-13,9.6611
2019-02-12,10.3602
2019-02-11,10.8591
2019-02-08,10.7619
2019-02-07,10.1963
2019-02-06,10.0084
2019-02-05,10.5196
2019-02-04,11.2401
2019-02-01,11.7236
2019-01-31,12.3859
2019-01-30,12.5566
2019-01-29,13.2480
2019-01-28,13.0438
2019-01-25,13.2221
2019-01-24,14.1611
2019-01-23,14.7784
2019-01-22,15.4431
2019-01-18,16.1590
2019-01-17,16.2950
2019-01-16,16.7159
2019-01-15,17.1693
2019-01-14,18.1494
2019-01-11,19.4154
2019-01-10,20.2861
2019-01-09,21.2236
2019-01-08,21.8747
2019-01-07,22.5758
2019-01-04,23.9070
2019-01-03,25.5444
2019-01-02,26.3639
2018-12-31,27.2464
2018-12-28,27.6326
2018-12-27,27.9222
2018-12-26,27.4491
2018-12-24,26.9396
2018-12-21,24.9419
2018-12-20,23.1767
2018-12-19,21.8196
2018-12-18,20.8224
2018-12-17,20.1535
2018-12-14,19.4332
2018-12-13,19.5386
2018-12-12,20.4043
2018-12-11,21.6062
2018-12-10,22.4919
2018-12-07,23.0964
2018-12-06,24.1791
2018-12-04,25.0719
2018-12-03,26.7255
2018-11-30,28.1146
2018-11-29,29.7106
2018-11-28,31.3300
2018-11-27,32.9390
2018-11-26,33.2067
2018-11-23,33.2445
2018-11-21,32.2947
2018-11-20,31.3768
2018-11-19,30.0815
2018-11-16,29.3367
2018-11-15,29.2079
2018-11-14,29.0691
2018-11-13,29.4496
2018-11-12,30.0435
2018-11-09,30.8601
2018-11-08,32.5900
2018-11-07,34.7558
2018-11-06,36.7314
2018-11-05,37.2971
2018-11-02,37.7787
2018-11-01,38.8586
2018-10-31,39.5437
2018-10-30,39.4076
2018-10-29,37.4228
2018-10-26,35.3834
2018-10-25,33.8669
2018-10-24,33.0313
2018-10-23,31.6532
2018-10-22,30.7528
2018-10-19,30.2946
2018-10-18,29.7903
2018-10-17,29.4278
2018-10-16,29.5413
2018-10-15,29.1442
2018-10-12,27.9739
2018-10-11,26.7973
2018-10-10,24.0694
2018-10-09,21.6817
2018-10-08,20.2525
2018-10-05,18.7133
2018-10-04,17.5308
2018-10-03,16.8251
2018-10-02,17.1715
2018-10-01,17.9343
2018-09-28,18.8324
2018-09-27,19.9758
2018-09-26,21.4770
2018-09-25,22.6016
2018-09-24,23.2587
2018-09-21,22.6983
2018-09-20,23.0858
2018-09-19,24.0712
2018-09-18,24.6457
2018-09-17,25.5292
2018-09-14,26.4367
2018-09-13,27.3883
2018-09-12,27.4916
2018-09-11,27.8242
2018-09-10,28.4665
2018-09-07,29.5787
2018-09-06,30.5682
2018-09-05,31.6338
2018-09-04,30.6463
2018-08-31,28.4390
2018-08-30,26.4735
2018-08-29,24.3568
2018-08-28,22.5078
2018-08-27,21.7648
2018-08-24,21.3709
2018-08-23,21.3058
2018-08-22,21.2357
2018-08-21,21.5729
2018-08-20,22.1862
2018-08-17,23.0315
2018-08-16,24.0540
2018-08-15,24.0714
2018-08-14,24.0901
2018-08-13,22.8183
2018-08-10,21.4488
2018-08-09,20.4741
2018-08-08,19.4244
2018-08-07,18.7672
2018-08-06,18.5540
