time,MACD,MACD_Hist,MACD_Signal
2020-05-20,65.4120,-5.2282,70.6402
2020-05-19,61.8588,-10.0884,71.9472
2020-05-18,61.3152,-13.1541,74.4693
2020-05-15,62.5143,-15.2436,77.7578
2020-05-14,66.5931,-14.9756,81.5687
2020-05-13,71.5953,-13.7173,85.3126
2020-05-12,76.3490,-12.3930,88.7419
2020-05-11,76.7189,-15.1213,91.8402
2020-05-08,79.8577,-15.7628,95.6205
2020-05-07,82.9631,-16.5981,99.5612
2020-05-06,85.4512,-18.2595,103.7107
2020-05-05,92.0003,-16.2753,108.2756
2020-05-04,97.9460,-14.3983,112.3444
2020-05-01,112.6243,-3.3197,115.9440
2020-04-30,121.5328,4.7589,116.7739
2020-04-29,122.6804,7.0962,115.5842
2020-04-28,131.5071,17.6970,113.8101
2020-04-27,136.5749,27.1890,109.3859
2020-04-24,133.8174,31.2288,102.5886
2020-04-23,131.0190,36.2376,94.7814
2020-04-22,127.2744,41.5524,85.7220
2020-04-21,123.7980,48.4641,75.3339
2020-04-20,112.7127,49.4948,63.2179
2020-04-17,99.6387,48.7945,50.8442
2020-04-16,83.2964,44.6508,38.6456
2020-04-15,63.9069,36.4240,27.4829
2020-04-14,47.2218,28.8449,18.3769
2020-04-13,31.0638,19.8982,11.1657
2020-04-09,26.3272,20.1361,6.1911
2020-04-08,19.4609,18.3038,1.1571
2020-04-07,12.7862,16.2051,-3.4189
2020-04-06,4.4770,11.9472,-7.4701
2020-04-03,2.0648,12.5217,-10.4569
2020-04-02,1.4861,15.0735,-13.5874
2020-04-01,1.6941,19.0498,-17.3557
2020-03-31,-1.2550,20.8632,-22.1182
2020-03-30,-8.1959,19.1381,-27.3340
2020-03-27,-12.7083,19.4102,-32.1185
2020-03-26,-19.1005,17.8705,-36.9711
2020-03-25,-24.0431,17.3957,-41.4387
2020-03-24,-31.9048,13.8828,-45.7876
2020-03-23,-44.6641,4.5943,-49.2583
2020-03-20,-47.6480,2.7589,-50.4069
2020-03-19,-60.7987,-9.7021,-51.0966
2020-03-18,-69.9478,-21.2767,-48.6711
2020-03-17,-69.4081,-26.0562,-43.3519
2020-03-16,-70.3029,-33.4650,-36.8379
2020-03-13,-56.7828,-28.3112,-28.4716
2020-03-12,-50.2557,-28.8619,-21.3938
2020-03-11,-37.8318,-23.6534,-14.1784
2020-03-10,-35.2580,-26.9930,-8.2650
2020-03-09,-32.7868,-31.2700,-1.5168
2020-03-06,-19.2774,-25.5781,6.3007
2020-03-05,-12.0519,-24.7471,12.6953
2020-03-04,-8.5597,-27.4417,18.8820
2020-03-03,-5.3596,-31.1020,25.7425
2020-03-02,-4.1294,-37.6474,33.5180
2020-02-28,4.5139,-38.4159,42.9298
2020-02-27,24.8334,-27.7004,52.5338
2020-02-26,38.2145,-21.2445,59.4589
2020-02-25,51.0825,-13.6876,64.7701
2020-02-24,61.0476,-7.1443,68.1920
2020-02-21,75.2451,5.2670,69.9780
