time,RSI
2020-05-20,65.5946
2020-05-19,62.2419
2020-05-18,60.1911
2020-05-15,57.5315
2020-05-14,56.9408
2020-05-13,57.5135
2020-05-12,62.0204
2020-05-11,59.5960
2020-05-08,59.4303
2020-05-07,59.6646
2020-05-06,56.9581
2020-05-05,57.7968
2020-05-04,52.6724
2020-05-01,59.0786
2020-04-30,66.8775
2020-04-29,61.8139
2020-04-28,66.2183
2020-04-27,74.5504
2020-04-24,73.4054
2020-04-23,72.6634
2020-04-22,71.3107
2020-04-21,76.7290
2020-04-20,75.7718
2020-04-17,75.1443
2020-04-16,74.2179
2020-04-15,70.8313
2020-04-14,68.3291
2020-04-13,59.2169
2020-04-09,59.6439
2020-04-08,58.1246
2020-04-07,57.8788
2020-04-06,52.4772
2020-04-03,50.6778
2020-04-02,50.0051
2020-04-01,52.1823
2020-03-31,54.3846
2020-03-30,51.8900
2020-03-27,52.4047
2020-03-26,50.7753
2020-03-25,51.8425
2020-03-24,53.5955
2020-03-23,46.9923
2020-03-20,52.4939
2020-03-19,48.7451
2020-03-18,41.6526
2020-03-17,42.9299
2020-03-16,32.8777
2020-03-13,38.1662
2020-03-12,35.3570
2020-03-11,42.7836
2020-03-10,43.5991
2020-03-09,35.0377
2020-03-06,41.0729
2020-03-05,45.2207
2020-03-04,46.2351
2020-03-03,48.3735
2020-03-02,42.4636
2020-02-28,32.9597
2020-02-27,41.1971
2020-02-26,44.2775
2020-02-25,49.6707
2020-02-24,47.1985
2020-02-21,64.9002
2020-02-20,70.3514
2020-02-19,69.9520
2020-02-18,66.5556
2020-02-14,71.9693
2020-02-13,71.2111
2020-02-12,74.3939
2020-02-11,73.6553
2020-02-10,69.2428
2020-02-07,65.7665
2020-02-06,65.6853
2020-02-05,70.4869
2020-02-04,67.4577
2020-02-03,65.9363
2020-01-31,72.6194
2020-01-30,50.6183
2020-01-29,51.8173
2020-01-28,47.2751
2020-01-27,42.9160
2020-01-24,58.5702
2020-01-23,57.3017
2020-01-22,60.3093
2020-01-21,53.9551
2020-01-17,59.9425
2020-01-16,59.3612
2020-01-15,57.2265
2020-01-14,61.0026
2020-01-13,62.5290
2020-01-10,66.5315
2020-01-09,67.8276
2020-01-08,66.2259
2020-01-07,67.9380
2020-01-06,61.5854
2020-01-03,62.7530
2020-01-02,65.4409
2019-12-31,60.5037
2019-12-30,69.4359
2019-12-27,72.1946
