time,SlowD,SlowK
2020-05-20,77.9998,87.0858
2020-05-19,69.1691,77.4248
2020-05-18,60.8738,69.4889
2020-05-15,56.2478,60.5937
2020-05-14,55.1810,52.5387
2020-05-13,57.3410,55.6110
2020-05-12,55.5423,57.3933
2020-05-11,50.0081,59.0187
2020-05-08,41.7085,50.2150
2020-05-07,35.3621,40.7907
2020-05-06,40.1213,34.1197
2020-05-05,52.5731,31.1760
2020-05-04,69.6474,55.0683
2020-05-01,76.7448,71.4749
2020-04-30,79.5236,82.3989
2020-04-29,81.0939,76.3607
2020-04-28,84.8205,79.8111
2020-04-27,85.8777,87.1099
2020-04-24,84.3885,87.5405
2020-04-23,82.9794,82.9827
2020-04-22,84.6454,82.6423
2020-04-21,87.0916,83.3132
2020-04-20,90.7477,87.9805
2020-04-17,93.4539,89.9810
2020-04-16,95.6637,94.2817
2020-04-15,96.6295,96.0991
2020-04-14,96.2119,96.6105
2020-04-13,96.0552,97.1790
2020-04-09,92.5955,94.8462
2020-04-08,88.8652,96.1403
2020-04-07,82.1611,86.8001
2020-04-06,80.4208,83.6553
2020-04-03,81.6654,76.0280
2020-04-02,86.1255,81.5790
2020-04-01,89.9955,87.3893
2020-03-31,89.8492,89.4082
2020-03-30,90.2557,93.1890
2020-03-27,87.0795,86.9505
2020-03-26,83.8637,90.6275
2020-03-25,76.6442,83.6606
2020-03-24,69.1291,77.3032
2020-03-23,62.5854,68.9689
2020-03-20,52.9760,61.1153
2020-03-19,43.2630,57.6722
2020-03-18,29.2915,40.1405
2020-03-17,21.0862,31.9763
2020-03-16,15.6941,15.7576
2020-03-13,16.6900,15.5248
2020-03-12,18.7094,15.8000
2020-03-11,20.5008,18.7453
2020-03-10,25.1730,21.5828
2020-03-09,29.1341,21.1742
2020-03-06,34.1108,32.7620
2020-03-05,32.4841,33.4661
2020-03-04,27.7716,36.1042
2020-03-03,18.9799,27.8820
2020-03-02,11.4754,19.3287
2020-02-28,7.9622,9.7289
2020-02-27,12.3423,5.3686
2020-02-26,26.6221,8.7889
2020-02-25,49.1553,22.8693
2020-02-24,71.3755,48.2081
2020-02-21,85.5204,76.3883
2020-02-20,89.7114,89.5299
2020-02-19,89.7471,90.6428
2020-02-18,89.9527,88.9613
2020-02-14,91.7418,89.6372
2020-02-13,93.3283,91.2595
2020-02-12,94.5244,94.3287
2020-02-11,93.4024,94.3968
2020-02-10,92.5526,94.8478
2020-02-07,90.0744,90.9627
2020-02-06,88.0726,91.8472
2020-02-05,81.8379,87.4134
2020-02-04,72.9768,84.9570
2020-02-03,60.1061,73.1432
2020-01-31,45.8701,60.8300
2020-01-30,33.3550,46.3450
2020-01-29,26.7814,30.4352
2020-01-28,29.8351,23.2847
2020-01-27,40.7898,26.6242
2020-01-24,49.6256,39.5964
2020-01-23,54.3378,56.1487
2020-01-22,51.6444,53.1317
2020-01-21,52.7226,53.7329
2020-01-17,56.5671,48.0685
2020-01-16,64.6949,56.3662
2020-01-15,72.8881,65.2665
2020-01-14,78.5831,72.4519
2020-01-13,84.1692,80.9458
2020-01-10,88.1588,82.3515
2020-01-09,91.4157,89.2103
2020-01-08,92.7035,92.9146
2020-01-07,89.2261,92.1223
2020-01-06,84.3790,93.0736
2020-01-03,77.3462,82.4826
2020-01-02,77.2969,77.5808
2019-12-31,80.2719,71.9753
2019-12-30,85.5957,82.3345
2019-12-27,84.9127,86.5059
2019-12-26,82.9986,87.9466
2019-12-24,77.1970,80.2854
2019-12-23,72.4257,80.7637
2019-12-20,62.7119,70.5418
2019-12-19,53.5449,65.9716
2019-12-18,42.4843,51.6223
2019-12-17,34.1314,43.0408
2019-12-16,26.4679,32.7899
2019-12-13,20.9987,26.5636
2019-12-12,18.5900,20.0503
2019-12-11,19.2460,16.3822
2019-12-10,23.0071,19.3374
2019-12-09,27.7836,22.0184
2019-12-06,36.1465,27.6656
2019-12-05,46.9972,33.6667
2019-12-04,61.1567,47.1073
2019-12-03,74.3342,60.2177
2019-12-02,81.4623,76.1453
2019-11-29,75.7446,86.6395
2019-11-27,58.0582,81.6022
2019-11-26,37.9674,58.9921
2019-11-25,26.1118,33.5803
2019-11-22,24.8709,21.3298
2019-11-21,25.8640,23.4254
2019-11-20,24.3924,29.8574
2019-11-19,22.5669,24.3092
2019-11-18,29.3759,19.0106
2019-11-15,43.1919,24.3808
2019-11-14,58.2506,44.7363
2019-11-13,67.4681,60.4587
2019-11-12,73.6771,69.5569
2019-11-11,78.3182,72.3888
2019-11-08,83.5388,79.0855
2019-11-07,87.5195,83.4805
2019-11-06,88.8966,88.0504
2019-11-05,87.6949,91.0276
2019-11-04,82.4270,87.6117
2019-11-01,78.3427,84.4455
2019-10-31,73.3173,75.2239
2019-10-30,73.0931,75.3587
2019-10-29,70.8106,69.3693
2019-10-28,71.3048,74.5513
2019-10-25,70.9231,68.5111
2019-10-24,72.8607,70.8520
2019-10-23,76.1419,73.4062
2019-10-22,78.8921,74.3240
2019-10-21,84.2703,80.6954
2019-10-18,84.0144,81.6569
2019-10-17,78.0003,90.4587
2019-10-16,62.5789,79.9277
2019-10-15,46.9961,63.6146
2019-10-14,33.6854,44.1944
2019-10-11,26.8986,33.1792
2019-10-10,25.0766,23.6825
2019-10-09,27.8446,23.8339
2019-10-08,27.6247,27.7134
2019-10-07,24.0328,31.9865
2019-10-04,18.1049,23.1742
2019-10-03,15.3905,16.9377
2019-10-02,14.1539,14.2028
2019-10-01,15.6305,15.0311
2019-09-30,16.4771,13.2278
2019-09-27,18.8066,18.6327
2019-09-26,18.8729,17.5708
2019-09-25,25.8232,20.2162
2019-09-24,36.1743,18.8316
2019-09-23,51.5511,38.4219
2019-09-20,59.7640,51.2693
2019-09-19,66.7647,64.9621
2019-09-18,71.3349,63.0606
2019-09-17,78.3656,72.2714
2019-09-16,80.6976,78.6728
2019-09-13,79.9697,84.1524
2019-09-12,79.2757,79.2675
2019-09-11,83.1384,76.4892
2019-09-10,86.1346,82.0704
2019-09-09,83.0980,90.8556
2019-09-06,70.2943,85.4777
2019-09-05,57.3121,72.9605
2019-09-04,45.1331,52.4447
2019-09-03,37.9077,46.5309
2019-08-30,30.3573,36.4237
2019-08-29,24.1120,30.7686
2019-08-28,24.8944,23.8797
2019-08-27,33.3808,17.6877
2019-08-26,47.3021,33.1158
2019-08-23,53.6576,49.3389
2019-08-22,49.1127,59.4515
2019-08-21,38.9342,52.1823
2019-08-20,26.9956,35.7044
2019-08-19,20.8556,28.9158
2019-08-16,16.9128,16.3665
2019-08-15,18.9607,17.2845
2019-08-14,21.0776,17.0873
2019-08-13,23.6333,22.5104
2019-08-12,23.5123,23.6351
2019-08-09,20.0057,24.7545
2019-08-08,14.9373,22.1474
2019-08-07,9.7090,13.1152
2019-08-06,7.8905,9.5492
2019-08-05,7.5838,6.4624
2019-08-02,9.2926,7.6597
2019-08-01,11.3642,8.6292
2019-07-31,16.7226,11.5890
2019-07-30,27.0113,13.8743
2019-07-29,41.6444,24.7045
2019-07-26,54.7551,42.4550
2019-07-25,59.3359,57.7737
2019-07-24,58.7263,64.0366
